filename,consonant,vowel
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__orig.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug0.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug1.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug2.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug3.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug4.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug5.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug6.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug7.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug8.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug9.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug10.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug11.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug12.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug13.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug14.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug15.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug16.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug17.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug18.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug19.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug20.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug21.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug22.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug23.png",VOWEL_അ,NONE
"VOWEL_U0D05__NONE__AnekMalayalam-VariableFont_wdth,wght__aug24.png",VOWEL_അ,NONE
